"","",""
"Abronia","sand verbena","SD(Custer, Fall River)"
"Agrimonia pubescens","soft agrimony","SD(Lincoln)"
"Agrimonia striata","roadside agrimony","SD(Bennett, Custer, Fall River, Minnehaha, Pennington)"
"Agropyron","wheatgrass","SD(Aurora, Beadle, Bennett, Brookings, Brown, Brule, Buffalo, Butte, Charles Mix, Clay, Codington, Corson, Custer, Day, Douglas, Edmunds, Fall River, Gregory, Haakon, Harding, Hughes, Jackson, Kingsbury, Lake, Lawrence, Lincoln, Lyman, Marshall, Meade, Pennington, Perkins, Potter, Roberts, Sanborn, Spink, Stanley, Sully, Todd, Tripp, Turner, Union, Walworth, Yankton)"
"Agropyron cristatum","crested wheatgrass","SD(Aurora, Beadle, Bennett, Brookings, Brown, Brule, Buffalo, Butte, Charles Mix, Clay, Codington, Corson, Custer, Day, Douglas, Edmunds, Fall River, Gregory, Haakon, Harding, Hughes, Jackson, Kingsbury, Lake, Lawrence, Lincoln, Lyman, Marshall, Meade, Pennington, Perkins, Potter, Roberts, Sanborn, Spink, Stanley, Sully, Todd, Tripp, Turner, Union, Walworth, Yankton)"
"Agropyron cristatum ssp. pectinatum","crested wheatgrass","SD(Aurora, Beadle, Bennett, Brookings, Brown, Brule, Buffalo, Butte, Charles Mix, Clay, Codington, Corson, Custer, Day, Douglas, Edmunds, Fall River, Gregory, Haakon, Harding, Hughes, Jackson, Kingsbury, Lake, Lawrence, Lincoln, Lyman, Marshall, Meade, Pennington, Perkins, Potter, Roberts, Sanborn, Spink, Stanley, Sully, Todd, Tripp, Turner, Union, Walworth, Yankton)"
"Agrostemma","corncockle","SD(Gregory, Harding)"
"Agrostemma githago","common corncockle","SD(Gregory, Harding)"
"Agrostis","bentgrass","SD(Beadle, Brookings, Brown, Butte, Campbell, Clark, Clay, Codington, Corson, Custer, Day, Douglas, Fall River, Gregory, Hanson, Harding, Hutchinson, Hyde, Lawrence, Lincoln, Marshall, Minnehaha, Pennington, Roberts, Sanborn, Stanley, Todd, Union, Walworth)"
"Agrostis exarata","spike bentgrass","SD(Fall River, Lawrence, Pennington)"
"Agrostis hyemalis","winter bentgrass","SD(Custer)"
"Agrostis perennans","upland bentgrass","SD(Minnehaha, Roberts)"
