"","",""
"Acaciella angustissima","prairie acacia","TX(Aransas, Bastrop, Bell, Bexar, Brazoria, Brazos, Brewster, Brown, Burleson, Burnet, Caldwell, Callahan, Cherokee, Coleman, Collin, Comal, Cooke, Coryell, Cottle, Crockett, Crosby, Culberson, Dallas, Denton, Dickens, El Paso, Erath, Falls, Fannin, Freestone, Galveston, Gillespie, Goliad, Grayson, Grimes, Hamilton, Hardeman, Hays, Hudspeth, Hunt, Jack, Jeff Davis, Jim Wells, Karnes, Kendall, Kerr, Kinney, Kleberg, Lamar, Leon, Lubbock, Matagorda, McLennan, Menard, Montgomery, Navarro, Nueces, Parker, Pecos, Presidio, Real, Red River, Refugio, Robertson, San Patricio, San Saba, Shackelford, Smith, Stonewall, Sutton, Tarrant, Taylor, Travis, Uvalde, Walker, Waller, Washington, Wilson, Wood)"
"Acaciella angustissima var. chisosiana","Chisos prairie acacia","TX(Brewster, Culberson, El Paso, Hudspeth, Jeff Davis, Presidio)"
"Acaciella angustissima var. hirta","prairie acacia","TX(Aransas, Bastrop, Bell, Bexar, Brazoria, Brazos, Brown, Burleson, Burnet, Caldwell, Callahan, Cherokee, Coleman, Collin, Comal, Cooke, Coryell, Cottle, Crockett, Crosby, Dallas, Denton, Dickens, Erath, Falls, Fannin, Freestone, Galveston, Gillespie, Goliad, Grayson, Grimes, Hamilton, Hardeman, Hays, Hunt, Jack, Jim Wells, Karnes, Kendall, Kerr, Kinney, Kleberg, Lamar, Leon, Lubbock, Matagorda, McLennan, Menard, Montgomery, Navarro, Nueces, Parker, Pecos, Real, Red River, Refugio, Robertson, San Patricio, San Saba, Shackelford, Smith, Stonewall, Sutton, Tarrant, Taylor, Travis, Uvalde, Walker, Waller, Washington, Wilson, Wood)"
"Acaciella leucothrix","whitehair acacia","TX(Dimmit, Starr, Webb)"
"Acalypha","copperleaf","TX(Anderson, Angelina, Aransas, Atascosa, Bandera, Bastrop, Bell, Bexar, Blanco, Bosque, Bowie, Brazoria, Brazos, Brewster, Brooks, Brown, Burleson, Burnet, Caldwell, Cameron, Camp, Chambers, Cherokee, Childress, Collin, Colorado, Comal, Concho, Coryell, Cottle, Crockett, Culberson, Dallas, DeWitt, Denton, Dimmit, Donley, Duval, Edwards, Fannin, Fayette, Freestone, Frio, Galveston, Gillespie, Goliad, Gonzales, Grayson, Gregg, Grimes, Guadalupe, Hardin, Harris, Harrison, Hays, Hidalgo, Hopkins, Houston, Hudspeth, Hunt, Jack, Jasper, Jeff Davis, Jefferson, Jim Hogg, Jim Wells, Johnson, Karnes, Kenedy, Kerr, Kimble, Kinney, Kleberg, Lamar, Lavaca, Lee, Liberty, Lipscomb, Live Oak, Llano, Lynn, Madison, Mason, Maverick, McLennan, McMullen, Medina, Menard, Milam, Montague, Montgomery, Morris, Nacogdoches, Newton, Nueces, Ochiltree, Parker, Pecos, Polk, Presidio, Real, Refugio, Roberts, Robertson, Rusk, San Augustine, San Jacinto, San Patricio, San Saba, Schleicher, Shelby, Smith, Somervell, Starr, Sutton, Tarrant, Taylor, Terrell, Travis, Trinity, Tyler, Uvalde, Val Verde, Van Zandt, Walker, Waller, Washington, Webb, Willacy, Williamson, Wilson, Wise, Wood, Young, Zapata, Zavala)"
"Acalypha gracilens","slender threeseed mercury","TX(Anderson, Angelina, Bastrop, Bell, Bosque, Brazoria, Brazos, Chambers, Cherokee, Collin, Fayette, Freestone, Galveston, Gonzales, Grayson, Guadalupe, Hardin, Harris, Houston, Hunt, Jasper, Lamar, Liberty, Llano, Madison, Mason, McLennan, Milam, Montgomery, Newton, Polk, Robertson, San Augustine, San Jacinto, Shelby, Smith, Trinity, Tyler, Walker, Williamson, Young)"
"Acalypha monococca","slender threeseed mercury","TX(Anderson, Bastrop, Blanco, Bowie, Brazoria, Brazos, Burnet, Caldwell, Dallas, DeWitt, Denton, Gillespie, Gonzales, Grayson, Harris, Harrison, Hopkins, Jack, Lee, Llano, Madison, Milam, Montague, Montgomery, Morris, Nacogdoches, Parker, Robertson, Rusk, Tarrant, Travis, Van Zandt, Washington, Wise, Wood)"
"Acalypha monostachya","round copperleaf","TX(Bandera, Bexar, Brewster, Cameron, Crockett, Dimmit, Duval, Gillespie, Hidalgo, Jim Hogg, Jim Wells, Kinney, Mason, Maverick, McMullen, Medina, San Patricio, Starr, Terrell, Travis, Uvalde, Val Verde, Webb, Zavala)"
"Acalypha neomexicana","New Mexico copperleaf","TX(Brewster, Culberson, Hudspeth, Jeff Davis, Presidio)"
"Acalypha ostryifolia","pineland threeseed mercury","TX(Bastrop, Bell, Bexar, Brazoria, Brazos, Brewster, Brown, Burleson, Burnet, Cameron, Childress, Collin, Colorado, Cottle, Dallas, Denton, Donley, Gillespie, Grimes, Harris, Hays, Jeff Davis, Kerr, Lamar, Lipscomb, Lynn, McLennan, Ochiltree, Presidio, Roberts, Robertson, San Saba, Tarrant, Taylor, Travis, Uvalde, Walker, Waller, Washington, Williamson)"
"Acalypha phleoides","shrubby copperleaf","TX(Bandera, Bell, Bexar, Blanco, Brewster, Brown, Burnet, Comal, Concho, Coryell, Crockett, Culberson, Edwards, Gillespie, Gonzales, Hays, Jeff Davis, Johnson, Kerr, Kimble, Kinney, Llano, Mason, McLennan, Medina, Menard, Pecos, Presidio, Real, San Saba, Schleicher, Somervell, Sutton, Taylor, Terrell, Travis, Uvalde, Val Verde, Williamson)"
"Acalypha poiretii","Poiret's copperleaf","TX(Cameron, Hidalgo, Starr, Wilson)"
"Acalypha radians","cardinal's feather","TX(Aransas, Atascosa, Bandera, Bastrop, Bexar, Blanco, Brooks, Burnet, Cameron, DeWitt, Dimmit, Duval, Frio, Gillespie, Goliad, Guadalupe, Hidalgo, Jim Hogg, Jim Wells, Karnes, Kenedy, Kleberg, Lavaca, Live Oak, Llano, Medina, Nueces, Refugio, San Patricio, Starr, Travis, Webb, Willacy, Wilson, Zapata, Zavala)"
"Acalypha rhomboidea","common threeseed mercury","TX(Brazoria, Brazos, Harris, Jefferson, Madison, Montgomery, San Jacinto, Walker)"
"Acalypha virginica","Virginia threeseed mercury","TX(Anderson, Angelina, Bell, Bowie, Brazos, Camp, Collin, Dallas, Fannin, Gregg, Houston, Lamar, Madison, Montague, Nacogdoches, Parker, Robertson, Smith, Tarrant)"
"Acanthocereus","triangle cactus","TX(Cameron, Kenedy, Webb, Willacy)"
"Acanthocereus tetragonus","triangle cactus","TX(Cameron, Kenedy, Webb, Willacy)"
"Acanthospermum","starbur","TX(San Jacinto)"
"Acanthospermum australe","Paraguayan starbur","TX(San Jacinto)"
"Acer","maple","TX(Anderson, Angelina, Bandera, Bastrop, Bell, Bexar, Blanco, Bowie, Brazoria, Brazos, Brewster, Burleson, Cass, Chambers, Cherokee, Coryell, Culberson, Dallas, Denton, Ellis, Fannin, Fayette, Fort Bend, Freestone, Galveston, Gillespie, Goliad, Gonzales, Grayson, Gregg, Grimes, Hardin, Harris, Harrison, Hays, Hemphill, Houston, Hunt, Jasper, Jeff Davis, Jefferson, Johnson, Karnes, Kendall, Kerr, Lamar, Lavaca, Leon, Liberty, Madison, Matagorda, McLennan, Milam, Montgomery, Morris, Nacogdoches, Navarro, Newton, Orange, Panola, Polk, Presidio, Real, Red River, Robertson, Rusk, Sabine, San Augustine, San Jacinto, Shelby, Tarrant, Titus, Travis, Trinity, Tyler, Uvalde, Van Zandt, Victoria, Walker, Waller, Washington, Williamson, Wise, Wood)"
"Acer floridanum","southern sugar maple","TX(Hemphill, Jasper, Rusk)"
"Acer grandidentatum","bigtooth maple","TX(Bandera, Bell, Brewster, Coryell, Culberson, Jeff Davis, Kendall, Presidio, Real, Uvalde)"
"Acer negundo","boxelder","TX(Anderson, Angelina, Bastrop, Bell, Bexar, Blanco, Bowie, Brazoria, Brazos, Burleson, Chambers, Dallas, Denton, Ellis, Fayette, Fort Bend, Freestone, Galveston, Gillespie, Goliad, Gonzales, Grayson, Gregg, Grimes, Harris, Harrison, Hays, Houston, Hunt, Jasper, Johnson, Karnes, Kendall, Kerr, Lavaca, Leon, Liberty, Madison, McLennan, Milam, Montgomery, Nacogdoches, Navarro, Polk, Red River, Robertson, San Augustine, San Jacinto, Tarrant, Travis, Van Zandt, Victoria, Walker, Waller, Washington, Williamson, Wise, Wood)"
"Acer negundo var. negundo","boxelder","TX(Grimes, Madison)"
"Acer rubrum","red maple","TX(Anderson, Angelina, Brazos, Cass, Chambers, Cherokee, Fannin, Galveston, Hardin, Harris, Harrison, Houston, Jasper, Jefferson, Lamar, Liberty, Montgomery, Morris, Nacogdoches, Orange, Panola, Polk, Sabine, San Augustine, San Jacinto, Titus, Trinity, Tyler, Walker)"
"Acer rubrum var. drummondii","Drummond's maple","TX(Hardin, San Jacinto, Trinity)"
"Acer saccharinum","silver maple","TX(Cherokee, Galveston, Grayson, Harris, Lamar, Red River, Sabine, Tarrant, Titus)"
