"","",""
"Actaea rubra ssp. rubra","red baneberry","MA(Barnstable, Berkshire, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Norfolk, Plymouth, Suffolk, Worcester)"
"Actinidia","actinidia","MA(Berkshire)"
"Actinidia arguta","tara vine","MA(Berkshire)"
"Adiantum","maidenhair fern","MA(Berkshire, Bristol, Essex, Franklin, Hampden, Hampshire, Middlesex, Norfolk, Plymouth, Suffolk, Worcester)"
"Adiantum pedatum","northern maidenhair","MA(Berkshire, Bristol, Essex, Franklin, Hampden, Hampshire, Middlesex, Norfolk, Plymouth, Suffolk, Worcester)"
"Adlumia","adlumia","MA(Barnstable, Berkshire, Essex, Franklin, Hampden, Hampshire, Middlesex, Worcester)"
"Adlumia fungosa","allegheny vine","MA(Barnstable, Berkshire, Essex, Franklin, Hampden, Hampshire, Middlesex, Worcester)"
"Aegopodium","goutweed","MA(Barnstable, Berkshire, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Worcester)"
"Aegopodium podagraria","bishop's goutweed","MA(Barnstable, Berkshire, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Worcester)"
"Aesculus","buckeye","MA(Berkshire, Hampshire, Middlesex, Norfolk, Plymouth, Suffolk, Worcester)"
"Aesculus ×arnoldiana","Arnold buckeye","MA(Suffolk)"
"Aesculus hippocastanum","horse chestnut","MA(Berkshire, Hampshire, Middlesex, Norfolk, Plymouth, Worcester)"
"Aethusa","aethusa","MA(Berkshire, Bristol, Essex, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Aethusa cynapium","fool's parsley","MA(Berkshire, Bristol, Essex, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Agalinis","false foxglove","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Agalinis acuta","sandplain false foxglove","MA(Barnstable, Bristol, Dukes, Middlesex, Nantucket, Worcester)"
"Agalinis maritima","saltmarsh false foxglove","MA(Barnstable, Bristol, Dukes, Essex, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk)"
"Agalinis maritima var. maritima","saltmarsh false foxglove","MA(Barnstable, Bristol, Dukes, Essex, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk)"
"Agalinis paupercula","smallflower false foxglove","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Agalinis paupercula var. paupercula","smallflower false foxglove","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Agalinis purpurea","purple false foxglove","MA(Barnstable, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Agalinis tenuifolia","slenderleaf false foxglove","MA(Barnstable, Berkshire, Bristol, Essex, Franklin, Hampden, Hampshire, Middlesex, Norfolk, Plymouth, Suffolk, Worcester)"
"Agalinis tenuifolia var. tenuifolia","slenderleaf false foxglove","MA(Barnstable, Berkshire, Bristol, Essex, Franklin, Hampden, Hampshire, Middlesex, Norfolk, Plymouth, Suffolk, Worcester)"
"Agastache","giant hyssop","MA(Berkshire, Hampshire, Suffolk, Worcester)"
"Agastache scrophulariifolia","purple giant hyssop","MA(Berkshire, Hampshire, Suffolk, Worcester)"
"Ageratina","snakeroot","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Ageratina altissima","white snakeroot","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Norfolk, Plymouth, Suffolk, Worcester)"
"Ageratina altissima var. altissima","white snakeroot","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Norfolk, Plymouth, Suffolk, Worcester)"
"Ageratina aromatica","lesser snakeroot","MA(Barnstable, Bristol, Dukes, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk)"
"Ageratina aromatica var. aromatica","lesser snakeroot","MA(Barnstable, Bristol, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk)"
"Ageratum","whiteweed","MA(Essex)"
"Ageratum houstonianum","bluemink","MA(Essex)"
"Agrimonia","agrimony","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Agrimonia eupatoria","churchsteeples","MA(Middlesex)"
"Agrimonia gryposepala","tall hairy agrimony","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Agrimonia parviflora","harvestlice","MA(Berkshire)"
"Agrimonia pubescens","soft agrimony","MA(Berkshire, Dukes, Hampden, Hampshire, Middlesex, Nantucket, Suffolk)"
"Agrimonia rostellata","beaked agrimony","MA(Worcester)"
"Agrimonia striata","roadside agrimony","MA(Berkshire, Bristol, Essex, Franklin, Hampden, Hampshire, Middlesex, Norfolk, Suffolk, Worcester)"
"Agropyron","wheatgrass","MA(Worcester)"
"Agropyron desertorum","desert wheatgrass","MA(Worcester)"
"Agrostemma","corncockle","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Agrostemma githago","common corncockle","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Agrostis","bentgrass","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Agrostis canina","velvet bentgrass","MA(Essex, Hampshire, Middlesex, Norfolk, Suffolk, Worcester)"
"Agrostis capillaris","colonial bentgrass","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Agrostis gigantea","redtop","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Agrostis hyemalis","winter bentgrass","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Agrostis perennans","upland bentgrass","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Agrostis scabra","rough bentgrass","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Agrostis stolonifera","creeping bentgrass","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Ailanthus","ailanthus","MA(Barnstable, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Ailanthus altissima","tree of heaven","MA(Barnstable, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Aira","hairgrass","MA(Barnstable, Bristol, Dukes, Middlesex, Nantucket, Plymouth, Worcester)"
"Aira caryophyllea","silver hairgrass","MA(Barnstable, Bristol, Dukes, Middlesex, Nantucket, Plymouth, Worcester)"
"Aira caryophyllea var. caryophyllea","silver hairgrass","MA(Barnstable, Bristol, Dukes, Middlesex, Nantucket, Plymouth, Worcester)"
"Aira praecox","yellow hairgrass","MA(Barnstable, Bristol, Dukes, Nantucket, Plymouth)"
"Ajuga","bugle","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Norfolk, Plymouth, Suffolk, Worcester)"
"Ajuga genevensis","blue bugle","MA(Berkshire, Franklin, Hampden, Hampshire, Norfolk)"
"Ajuga reptans","common bugle","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Hampden, Hampshire, Middlesex, Norfolk, Plymouth, Suffolk, Worcester)"
"Akebia","chocolate vine","MA(Barnstable, Berkshire, Dukes, Hampden, Worcester)"
"Akebia ×pentaphylla","chocolate vine","MA(Berkshire)"
"Akebia quinata","chocolate vine","MA(Barnstable, Berkshire, Dukes, Hampden, Worcester)"
"Alcea","hollyhock","MA(Berkshire, Essex, Middlesex, Nantucket)"
"Alcea rosea","hollyhock","MA(Berkshire, Essex, Middlesex, Nantucket)"
"Alchemilla","lady's mantle","MA(Middlesex)"
"Alchemilla monticola","hairy lady's mantle","MA(Middlesex)"
"Aletris","colicroot","MA(Barnstable, Bristol, Dukes, Franklin, Hampden, Hampshire, Nantucket, Norfolk, Plymouth, Worcester)"
"Aletris farinosa","white colicroot","MA(Barnstable, Bristol, Dukes, Franklin, Hampden, Hampshire, Nantucket, Norfolk, Plymouth, Worcester)"
"Alisma","water plantain","MA(Barnstable, Berkshire, Bristol, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Suffolk, Worcester)"
"Alisma subcordatum","American water plantain","MA(Barnstable, Berkshire, Bristol, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Suffolk, Worcester)"
"Alisma triviale","northern water plantain","MA(Berkshire, Essex, Franklin, Hampden, Hampshire, Middlesex, Norfolk, Suffolk, Worcester)"
"Alliaria","alliaria","MA(Barnstable, Berkshire, Bristol, Essex, Franklin, Hampden, Hampshire, Middlesex, Norfolk, Plymouth, Suffolk, Worcester)"
"Alliaria petiolata","garlic mustard","MA(Barnstable, Berkshire, Bristol, Essex, Franklin, Hampden, Hampshire, Middlesex, Norfolk, Plymouth, Suffolk, Worcester)"
"Allium","onion","MA(Barnstable, Berkshire, Bristol, Dukes, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
"Allium canadense","meadow garlic","MA(Barnstable, Berkshire, Bristol, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, Worcester)"
