"Alopecurus carolinianus","Carolina foxtail","DC(District of Columbia)"
"Alopecurus geniculatus","water foxtail","DC(District of Columbia)"
"Alopecurus geniculatus var. geniculatus","water foxtail","DC(District of Columbia)"
"Alopecurus myosuroides","slender meadow foxtail","DC(District of Columbia)"
"Alopecurus pratensis","meadow foxtail","DC(District of Columbia)"
"Althaea","marshmallow","DC(District of Columbia)"
"Althaea cannabina","palm-leaf marshmallow","DC(District of Columbia)"
"Amaranthus","pigweed","DC(District of Columbia)"
"Amaranthus albus","prostrate pigweed","DC(District of Columbia)"
"Amaranthus arenicola","sandhill amaranth","DC(District of Columbia)"
"Amaranthus blitoides","mat amaranth","DC(District of Columbia)"
"Amaranthus blitum","purple amaranth","DC(District of Columbia)"
"Amaranthus cannabinus","tidalmarsh amaranth","DC(District of Columbia)"
"Amaranthus cruentus","red amaranth","DC(District of Columbia)"
"Amaranthus hybridus","slim amaranth","DC(District of Columbia)"
"Amaranthus retroflexus","redroot amaranth","DC(District of Columbia)"
"Amaranthus spinosus","spiny amaranth","DC(District of Columbia)"
"Ambrosia","ragweed","DC(District of Columbia)"
"Ambrosia artemisiifolia","annual ragweed","DC(District of Columbia)"
"Ambrosia artemisiifolia var. artemisiifolia","annual ragweed","DC(District of Columbia)"
"Ambrosia trifida","great ragweed","DC(District of Columbia)"
"Ambrosia trifida var. trifida","great ragweed","DC(District of Columbia)"
"Amelanchier","serviceberry","DC(District of Columbia)"
"Amelanchier arborea","common serviceberry","DC(District of Columbia)"
"Amelanchier arborea var. arborea","common serviceberry","DC(District of Columbia)"
"Amelanchier canadensis","Canadian serviceberry","DC(District of Columbia)"
"Amelanchier laevis","Allegheny serviceberry","DC(District of Columbia)"
"Amelanchier stolonifera","running serviceberry","DC(District of Columbia)"
"Ammannia","redstem","DC(District of Columbia)"
"Ammannia coccinea","valley redstem","DC(District of Columbia)"
"Amorpha","false indigo","DC(District of Columbia)"
"Amorpha fruticosa","false indigo bush","DC(District of Columbia)"
"Ampelopsis","peppervine","DC(District of Columbia)"
"Ampelopsis brevipedunculata","Amur peppervine","DC(District of Columbia)"
"Amphicarpaea","hogpeanut","DC(District of Columbia)"
"Amphicarpaea bracteata","American hogpeanut","DC(District of Columbia)"
