"","",""
"Ageratina altissima","white snakeroot","IA(Adair, Audubon, Carroll, Cass, Cherokee, Crawford, Des Moines, Dickinson, Fremont, Guthrie, Harrison, Mahaska, Pottawattamie, Ringgold, Sioux, Story, Washington, Woodbury)"
"Ageratina altissima var. altissima","white snakeroot","IA(Adair, Audubon, Carroll, Cass, Cherokee, Crawford, Des Moines, Dickinson, Fremont, Guthrie, Harrison, Mahaska, Pottawattamie, Ringgold, Sioux, Story, Washington, Woodbury)"
"Agoseris","agoseris","IA(Mills)"
"Agoseris glauca","pale agoseris","IA(Mills)"
"Agoseris glauca var. glauca","pale agoseris","IA(Mills)"
"Agrimonia","agrimony","IA(Adair, Cherokee, Crawford, Decatur, Guthrie, Lyon, Madison, Monona, Osceola, Page, Plymouth, Pottawattamie, Ringgold, Webster, Woodbury)"
"Agrimonia gryposepala","tall hairy agrimony","IA(Adair, Cherokee, Crawford, Guthrie)"
"Agrimonia parviflora","harvestlice","IA(Adair, Decatur)"
"Agrimonia pubescens","soft agrimony","IA(Cherokee, Crawford, Guthrie, Madison, Monona, Page, Plymouth, Ringgold, Webster, Woodbury)"
"Agrimonia striata","roadside agrimony","IA(Guthrie, Lyon, Osceola, Pottawattamie)"
"Agropyron","wheatgrass","IA(Monona, Sioux, Woodbury)"
"Agropyron cristatum","crested wheatgrass","IA(Monona, Sioux, Woodbury)"
"Agropyron cristatum ssp. pectinatum","crested wheatgrass","IA(Monona, Sioux, Woodbury)"
"Agrostemma","corncockle","IA(Adair)"
"Agrostemma githago","common corncockle","IA(Adair)"
"Agrostis","bentgrass","IA(Adair, Adams, Boone, Buena Vista, Calhoun, Cass, Clarke, Clay, Clayton, Crawford, Dallas, Davis, Decatur, Dickinson, Emmet, Fremont, Greene, Guthrie, Hamilton, Hancock, Hardin, Humboldt, Ida, Iowa, Johnson, Kossuth, Linn, Lucas, Lyon, Madison, Marion, Monona, Muscatine, O'Brien, Osceola, Palo Alto, Pocahontas, Polk, Pottawattamie, Ringgold, Sac, Sioux, Story, Taylor, Union, Warren, Washington, Webster, Winnebago, Winneshiek, Wright)"
"Agrostis hyemalis","winter bentgrass","IA(Clay, Clayton, Decatur, Dickinson, Iowa, Kossuth, Linn, Lucas, Lyon, Marion, Monona, Muscatine, Story, Warren, Washington, Webster, Winneshiek)"
"Agrostis perennans","upland bentgrass","IA(Boone, Cass, Clay, Dallas, Davis, Decatur, Guthrie, Johnson, Lyon, Madison, Muscatine, O'Brien, Palo Alto, Ringgold, Story, Warren, Washington, Webster)"
"Agrostis scabra","rough bentgrass","IA(Boone, Buena Vista, Dickinson, Emmet, Hamilton, Hancock, Hardin, Humboldt, Kossuth, Lyon, Osceola, Palo Alto, Pocahontas, Sac, Story, Webster, Winnebago, Wright)"
"Agrostis stolonifera","creeping bentgrass","IA(Adair, Adams, Boone, Calhoun, Cass, Clarke, Clay, Crawford, Dallas, Decatur, Dickinson, Emmet, Fremont, Greene, Guthrie, Humboldt, Ida, Kossuth, Lyon, Madison, Monona, O'Brien, Osceola, Palo Alto, Pocahontas, Polk, Pottawattamie, Sioux, Story, Taylor, Union, Warren, Washington, Webster, Winneshiek)"
"Ailanthus","ailanthus","IA(Woodbury)"
"Ailanthus altissima","tree of heaven","IA(Woodbury)"
"Alcea","hollyhock","IA(Mills)"
"Alcea rosea","hollyhock","IA(Mills)"
"Alisma","water plantain","IA(Cass, Crawford, Dickinson, Fremont, Greene, Guthrie, Harrison, Monona, Montgomery, Osceola, Pottawattamie, Ringgold, Sioux, Taylor, Webster)"
"Alisma subcordatum","American water plantain","IA(Cass, Crawford, Fremont, Greene, Guthrie, Harrison, Monona, Montgomery, Osceola, Pottawattamie, Ringgold, Sioux, Taylor)"
"Alisma triviale","northern water plantain","IA(Dickinson, Monona, Pottawattamie, Webster)"
"Allium","onion","IA(Adair, Boone, Cherokee, Clay, Davis, Decatur, Dickinson, Emmet, Fremont, Guthrie, Harrison, Iowa, Lyon, Madison, Mills, Monona, Montgomery, O'Brien, Osceola, Page, Pottawattamie, Poweshiek, Shelby, Sioux, Story, Taylor, Woodbury)"
"Allium canadense","meadow garlic","IA(Adair, Boone, Cherokee, Clay, Davis, Decatur, Dickinson, Emmet, Fremont, Guthrie, Harrison, Iowa, Lyon, Madison, Mills, Monona, Montgomery, Osceola, Page, Pottawattamie, Poweshiek, Shelby, Sioux, Story, Taylor)"
"Allium canadense var. canadense","meadow garlic","IA(Adair, Boone, Cherokee, Clay, Davis, Decatur, Dickinson, Emmet, Fremont, Guthrie, Harrison, Iowa, Lyon, Madison, Mills, Monona, Montgomery, Osceola, Page, Pottawattamie, Poweshiek, Shelby, Sioux, Story, Taylor)"
"Allium perdulce","plains onion","IA(Woodbury)"
"Allium perdulce var. perdulce","plains onion","IA(Woodbury)"
"Allium porrum","garden leek","IA(Mills)"
"Allium stellatum","autumn onion","IA(Cherokee, Lyon, O'Brien, Osceola, Sioux)"
"Allium tricoccum","ramp","IA(Cherokee, Dickinson, Guthrie, Madison, O'Brien, Shelby)"
"Alopecurus","foxtail","IA(Appanoose, Cass, Clarke, Clay, Decatur, Dickinson, Emmet, Hardin, Jasper, Lyon, Marion, Monroe, Page, Palo Alto, Polk, Pottawattamie, Story, Taylor, Warren, Washington, Webster)"
"Alopecurus aequalis","shortawn foxtail","IA(Cass, Clay, Decatur, Dickinson, Emmet, Hardin, Lyon, Palo Alto, Webster)"
"Alopecurus aequalis var. aequalis","shortawn foxtail","IA(Cass, Clay, Decatur, Dickinson, Emmet, Hardin, Lyon, Palo Alto, Webster)"
"Alopecurus carolinianus","Carolina foxtail","IA(Appanoose, Clarke, Decatur, Jasper, Lyon, Marion, Monroe, Page, Polk, Pottawattamie, Story, Taylor, Warren, Washington)"
"Amaranthus","pigweed","IA(Adair, Adams, Allamakee, Audubon, Benton, Boone, Buena Vista, Carroll, Cass, Cherokee, Crawford, Des Moines, Dickinson, Emmet, Fremont, Guthrie, Hardin, Harrison, Johnson, Lee, Lyon, Madison, Mills, Monona, Montgomery, Muscatine, O'Brien, Page, Palo Alto, Plymouth, Pocahontas, Pottawattamie, Ringgold, Shelby, Story, Taylor, Union, Warren, Webster, Winneshiek, Woodbury)"
"Amaranthus albus","prostrate pigweed","IA(Lyon, Page)"
"Amaranthus arenicola","sandhill amaranth","IA(Lee, Muscatine)"
"Amaranthus blitoides","mat amaranth","IA(Fremont, Harrison, Lyon, Madison, Mills, Monona, O'Brien, Page, Palo Alto, Shelby, Webster)"
"Amaranthus hybridus","slim amaranth","IA(Adair, Muscatine, Webster)"
"Amaranthus retroflexus","redroot amaranth","IA(Adair, Adams, Audubon, Cass, Crawford, Fremont, Guthrie, Harrison, Lyon, Madison, Mills, Montgomery, Page, Pottawattamie, Ringgold, Shelby, Taylor, Union, Webster, Winneshiek)"
"Amaranthus tuberculatus","roughfruit amaranth","IA(Adams, Allamakee, Audubon, Benton, Boone, Buena Vista, Carroll, Cass, Cherokee, Des Moines, Dickinson, Emmet, Fremont, Guthrie, Hardin, Harrison, Johnson, Lee, Lyon, Madison, Mills, Monona, Muscatine, O'Brien, Page, Plymouth, Pocahontas, Pottawattamie, Story, Taylor, Warren, Webster, Winneshiek, Woodbury)"
