"","",""
"Abies","fir","GA(Fannin)"
"Acmella","spotflower","GA(Bibb, Brooks, Chatham, Decatur, Dougherty, Randolph, Thomas, Tift)"
"Acmella oppositifolia","oppositeleaf spotflower","GA(Bibb, Brooks, Chatham, Decatur, Dougherty, Randolph, Thomas)"
"Acmella oppositifolia var. repens","oppositeleaf spotflower","GA(Bibb, Brooks, Chatham, Decatur, Dougherty, Randolph, Thomas)"
"Acmella pusilla","dwarf spotflower","GA(Chatham, Tift)"
"Aconitum","monkshood","GA(Chattahoochee, Cobb, Dawson, Union)"
"Aconitum uncinatum","southern blue monkshood","GA(Chattahoochee, Cobb, Dawson, Union)"
"Acorus","sweetflag","GA(Ware)"
"Acorus calamus","calamus","GA(Ware)"
"Actaea","baneberry","GA(Bartow, Burke, Carroll, Chattooga, Clarke, Dade, Dawson, Elbert, Fannin, Floyd, Forsyth, Gilmer, Hall, Harris, Lumpkin, Morgan, Murray, Newton, Pickens, Rabun, Spalding, Stephens, Towns, Union, Walker, White, Whitfield)"
"Actaea pachypoda","white baneberry","GA(Bartow, Clarke, Dade, Fannin, Gilmer, Harris, Newton, Rabun, Stephens, Towns, Union, Walker)"
"Actaea podocarpa","mountain bugbane","GA(Fannin, Towns, Union)"
"Actaea racemosa","black baneberry","GA(Bartow, Burke, Carroll, Chattooga, Clarke, Dawson, Elbert, Floyd, Forsyth, Gilmer, Hall, Harris, Lumpkin, Morgan, Murray, Pickens, Rabun, Spalding, Stephens, Towns, Union, Walker, White, Whitfield)"
"Actaea racemosa var. racemosa","black bugbane","GA(Bartow, Burke, Carroll, Chattooga, Clarke, Dawson, Elbert, Floyd, Forsyth, Gilmer, Hall, Harris, Lumpkin, Morgan, Murray, Pickens, Rabun, Spalding, Stephens, Towns, Union, Walker, White, Whitfield)"
"Adiantum","maidenhair fern","GA(Banks, Bartow, Brooks, Burke, Chattooga, Cherokee, Clarke, Clay, Cobb, Dade, Dawson, DeKalb, Decatur, Dougherty, Early, Effingham, Elbert, Fannin, Floyd, Forsyth, Fulton, Gilmer, Grady, Gwinnett, Habersham, Hall, Harris, Hart, Heard, Jackson, Lincoln, Morgan, Murray, Peach, Pickens, Polk, Rabun, Stephens, Sumter, Union, Walker, White)"
"Adiantum capillus-veneris","common maidenhair","GA(Brooks, Cherokee, Clay, Decatur, Dougherty, Early, Grady, Habersham, Sumter)"
"Adiantum pedatum","northern maidenhair","GA(Banks, Bartow, Burke, Chattooga, Cherokee, Clarke, Clay, Cobb, Dade, Dawson, DeKalb, Effingham, Elbert, Fannin, Floyd, Forsyth, Fulton, Gilmer, Gwinnett, Hall, Harris, Hart, Heard, Jackson, Lincoln, Morgan, Murray, Peach, Pickens, Polk, Rabun, Stephens, Union, Walker, White)"
"Aegopodium","goutweed","GA(Catoosa, Elbert)"
"Aegopodium podagraria","bishop's goutweed","GA(Catoosa, Elbert)"
