"","",""
"Abies","fir","GA(Fannin)"
"Elytraria","scalystem","GA(Baker, Ben Hill, Miller)"
"Elytraria caroliniensis","Carolina scalystem","GA(Baker, Ben Hill, Miller)"
"Elytraria caroliniensis var. caroliniensis","Carolina scalystem","GA(Baker, Ben Hill, Miller)"
"Emilia","tasselflower","GA(Clarke, Lowndes)"
"Emilia fosbergii","Florida tasselflower","GA(Lowndes)"
"Emilia sonchifolia","lilac tasselflower","GA(Clarke)"
"Emilia sonchifolia var. sonchifolia","lilac tasselflower","GA(Clarke)"
"Epidendrum","star orchid","GA(Brooks, Bulloch, Camden, Candler, Charlton, Coffee, Early, Echols, Grady, Lanier, Lowndes, McIntosh, Tattnall)"
"Epidendrum magnoliae","green fly orchid","GA(Brooks, Bulloch, Camden, Candler, Charlton, Coffee, Early, Echols, Grady, Lanier, Lowndes, McIntosh, Tattnall)"
"Epidendrum magnoliae var. magnoliae","green fly orchid","GA(Brooks, Bulloch, Camden, Candler, Charlton, Coffee, Early, Echols, Grady, Lanier, Lowndes, McIntosh, Tattnall)"
"Epifagus","beechdrops","GA(Bulloch, Cherokee, Clarke, Clay, Columbia, Dade, DeKalb, Decatur, Douglas, Floyd, Grady, Haralson, Harris, McDuffie, Morgan, Murray, Randolph, Upson, Washington, Whitfield)"
"Epifagus virginiana","beechdrops","GA(Bulloch, Cherokee, Clarke, Clay, Columbia, Dade, DeKalb, Decatur, Douglas, Floyd, Grady, Haralson, Harris, McDuffie, Morgan, Murray, Randolph, Upson, Washington, Whitfield)"
"Epigaea","trailing arbutus","GA(Banks, Bartow, Bibb, Catoosa, Chattooga, Cherokee, Cobb, Dade, Elbert, Floyd, Forsyth, Fulton, Gilmer, Gwinnett, Habersham, Hall, Haralson, Harris, Macon, Murray, Pickens, Rabun, Richmond, Towns, Walker, White, Whitfield)"
"Epigaea repens","trailing arbutus","GA(Banks, Bartow, Bibb, Catoosa, Chattooga, Cherokee, Cobb, Dade, Elbert, Floyd, Forsyth, Fulton, Gilmer, Gwinnett, Habersham, Hall, Haralson, Harris, Macon, Murray, Pickens, Rabun, Richmond, Towns, Walker, White, Whitfield)"
"Epilobium","willowherb","GA(Catoosa, Chattooga, Habersham, Murray, Rabun)"
"Epilobium coloratum","purpleleaf willowherb","GA(Catoosa, Chattooga, Habersham, Murray, Rabun)"
"Equisetum","horsetail","GA(Baldwin, Banks, Bartow, Floyd, Fulton, Gwinnett, Habersham, Jasper, Lumpkin, Murray, Seminole, Towns, Walker, Whitfield)"
"Equisetum arvense","field horsetail","GA(Fulton, Gwinnett, Lumpkin, Towns)"
"Equisetum hyemale","scouringrush horsetail","GA(Baldwin, Banks, Bartow, Floyd, Fulton, Habersham, Jasper, Murray, Seminole, Walker, Whitfield)"
"Equisetum hyemale var. affine","scouringrush horsetail","GA(Baldwin, Banks, Bartow, Floyd, Fulton, Habersham, Jasper, Murray, Seminole, Walker, Whitfield)"
"Eragrostis","lovegrass","GA(Baker, Bartow, Ben Hill, Berrien, Brooks, Calhoun, Camden, Chatham, Cherokee, Clarke, Cobb, Columbia, Cook, DeKalb, Decatur, Dooly, Dougherty, Early, Echols, Elbert, Evans, Fulton, Gilmer, Glynn, Grady, Greene, Hall, Harris, Hart, Irwin, Jackson, Jasper, Johnson, Jones, Lanier, Laurens, Lee, Liberty, Long, Lowndes, Lumpkin, McDuffie, McIntosh, Miller, Morgan, Muscogee, Oconee, Oglethorpe, Paulding, Peach, Pickens, Seminole, Spalding, Stephens, Taylor, Terrell, Tift, Toombs, Washington, Wayne, Wilkes, Worth)"
"Eragrostis amabilis","Japanese lovegrass","GA(Baker, Chatham, Clarke, Dougherty, Grady, Wayne)"
"Eragrostis bahiensis","Bahia lovegrass","GA(Grady)"
"Eragrostis capillaris","lace grass","GA(Cherokee, Clarke, Echols, Elbert, Grady, Pickens)"
"Eragrostis cilianensis","stinkgrass","GA(Bartow, Clarke, Cobb, Spalding)"
"Eragrostis ciliaris","gophertail lovegrass","GA(Baker, Decatur)"
"Eragrostis cumingii","Cuming's lovegrass","GA(Grady)"
"Eragrostis curvula","weeping lovegrass","GA(Clarke, Elbert, Gilmer, Irwin, Laurens, Stephens, Tift, Toombs)"
"Eragrostis elliottii","field lovegrass","GA(Brooks, Camden, Glynn, Lowndes, McIntosh, Seminole, Wayne)"
"Eragrostis hirsuta","bigtop lovegrass","GA(Bartow, Calhoun, Clarke, Columbia, Dougherty, Early, Elbert, Harris, Hart, Jackson, Jones, Liberty, Morgan, Oconee, Oglethorpe, Spalding, Washington, Wilkes, Worth)"
"Eragrostis hypnoides","teal lovegrass","GA(Baker, Clarke, Dooly, Dougherty, Terrell, Washington)"
"Eragrostis intermedia","plains lovegrass","GA(Clarke, Johnson)"
"Eragrostis japonica","pond lovegrass","GA(Early)"
"Eragrostis lugens","mourning lovegrass","GA(Clarke)"
"Eragrostis minor","little lovegrass","GA(Spalding)"
"Eragrostis pilosa","Indian lovegrass","GA(Baker, Clarke, DeKalb, Dougherty, Elbert, McDuffie, Miller, Muscogee, Paulding, Peach, Spalding)"
"Eragrostis refracta","coastal lovegrass","GA(Baker, Berrien, Brooks, Chatham, Decatur, Echols, Evans, Glynn, Grady, Lanier, Lee, Long, McIntosh, Seminole, Washington, Wayne, Worth)"
"Eragrostis spectabilis","purple lovegrass","GA(Ben Hill, Chatham, Clarke, Dougherty, Elbert, Fulton, Gilmer, Greene, Hall, Hart, Jackson, Jasper, Jones, Lowndes, Lumpkin, Seminole, Taylor)"
"Eragrostis unioloides","Chinese lovegrass","GA(Cook)"
"Erechtites","burnweed","GA(Cobb, Decatur, Dougherty, Glynn, Jones, Long, Lowndes, McIntosh, Tift, Wilkes)"
"Erechtites hieraciifolius","American burnweed","GA(Cobb, Decatur, Dougherty, Glynn, Jones, Long, Lowndes, McIntosh, Tift, Wilkes)"
"Erechtites hieraciifolius var. hieraciifolius","American burnweed","GA(Cobb, Decatur, Dougherty, Glynn, Jones, Long, Lowndes, McIntosh, Tift, Wilkes)"
"Eremochloa","centipede grass","GA(Brooks, Irwin, Lanier, Lowndes, McIntosh, Wayne)"
"Eremochloa ophiuroides","centipede grass","GA(Brooks, Irwin, Lanier, Lowndes, McIntosh, Wayne)"
"Erigenia","erigenia","GA(Floyd, Walker)"
"Erigenia bulbosa","harbinger of spring","GA(Floyd, Walker)"
"Erigeron","fleabane","GA(Appling, Bacon, Baker, Baldwin, Bartow, Ben Hill, Berrien, Bibb, Bleckley, Brantley, Brooks, Bulloch, Calhoun, Candler, Carroll, Charlton, Chatham, Cherokee, Clarke, Cobb, Colquitt, Columbia, Cook, Crisp, Dade, Dawson, DeKalb, Dodge, Dooly, Dougherty, Early, Echols, Elbert, Emanuel, Floyd, Forsyth, Fulton, Gilmer, Glynn, Grady, Gwinnett, Hall, Haralson, Harris, Hart, Houston, Irwin, Jasper, Jeff Davis, Johnson, Jones, Lanier, Laurens, Lee, Liberty, Long, Lowndes, Lumpkin, Macon, Madison, McIntosh, Meriwether, Mitchell, Monroe, Morgan, Murray, Oglethorpe, Pierce, Polk, Pulaski, Putnam, Rabun, Randolph, Screven, Spalding, Stephens, Sumter, Taylor, Thomas, Tift, Toombs, Towns, Treutlen, Twiggs, Union, Walker, White, Whitfield, Wilkes, Worth)"
"Erigeron annuus","eastern daisy fleabane","GA(Clarke, DeKalb, Elbert, Fulton, Harris, Morgan, Murray, Stephens)"
"Erigeron philadelphicus","Philadelphia fleabane","GA(Bartow, Calhoun, Cherokee, Cobb, Dade, DeKalb, Gilmer, Lumpkin, Morgan, Walker)"
"Erigeron philadelphicus var. philadelphicus","Philadelphia fleabane","GA(Bartow, Calhoun, Cherokee, Cobb, Dade, DeKalb, Gilmer, Lumpkin, Morgan, Walker)"
"Erigeron pulchellus","robin's plantain","GA(Bartow, Carroll, Clarke, Dawson, DeKalb, Elbert, Floyd, Fulton, Gilmer, Hall, Haralson, Hart, Lumpkin, Meriwether, Morgan, Murray, Polk, Putnam, Randolph, Towns, Union, Walker, White, Whitfield)"
"Erigeron pulchellus var. pulchellus","robin's plantain","GA(Bartow, Carroll, Clarke, Dawson, DeKalb, Elbert, Floyd, Fulton, Gilmer, Hall, Haralson, Hart, Lumpkin, Meriwether, Morgan, Murray, Polk, Putnam, Randolph, Towns, Union, Walker, White, Whitfield)"
"Erigeron quercifolius","oakleaf fleabane","GA(Brantley, Charlton, Chatham, Echols, Glynn, Grady, McIntosh, Pierce)"
"Erigeron strigosus","prairie fleabane","GA(Baker, Baldwin, Bartow, Ben Hill, Bibb, Bleckley, Brooks, Bulloch, Calhoun, Chatham, Clarke, Colquitt, Columbia, Cook, Crisp, DeKalb, Dodge, Dooly, Dougherty, Elbert, Floyd, Forsyth, Fulton, Gilmer, Gwinnett, Hall, Harris, Houston, Jasper, Jones, Lanier, Lee, Long, Macon, Madison, Mitchell, Monroe, Morgan, Oglethorpe, Rabun, Spalding, Sumter, Taylor, Thomas, Tift, Toombs, Treutlen, Twiggs, Walker, Wilkes, Worth)"
"Erigeron strigosus var. calcicola","limestone prairie fleabane","GA(Floyd)"
"Erigeron vernus","early whitetop fleabane","GA(Appling, Bacon, Ben Hill, Berrien, Brantley, Brooks, Bulloch, Candler, Chatham, Crisp, Dodge, Dooly, Early, Echols, Emanuel, Glynn, Irwin, Jeff Davis, Johnson, Lanier, Laurens, Liberty, Lowndes, McIntosh, Mitchell, Pulaski, Screven, Tift, Toombs)"
"Eriobotrya","loquat","GA(Lowndes)"
"Eriobotrya japonica","loquat","GA(Lowndes)"
"Eriocaulon","pipewort","GA(Bacon, Baker, Baldwin, Ben Hill, Berrien, Brantley, Brooks, Bryan, Bulloch, Calhoun, Candler, Charlton, Chatham, Clarke, Coffee, Colquitt, Cook, Decatur, Douglas, Early, Emanuel, Glynn, Grady, Gwinnett, Hancock, Irwin, Johnson, Lanier, Lee, Liberty, Long, Lowndes, Macon, McIntosh, Meriwether, Miller, Newton, Richmond, Rockdale, Screven, Seminole, Spalding, Thomas, Tift, Toombs, Walton, Ware, Wayne, Wheeler, Worth)"
"Eriocaulon compressum","flattened pipewort","GA(Baldwin, Calhoun, Charlton, Cook, Early, Liberty, Macon, McIntosh, Ware, Wayne, Worth)"
"Eriocaulon decangulare","tenangle pipewort","GA(Bacon, Ben Hill, Berrien, Brantley, Brooks, Bryan, Bulloch, Candler, Charlton, Chatham, Colquitt, Douglas, Emanuel, Glynn, Grady, Irwin, Johnson, Lanier, Long, McIntosh, Miller, Richmond, Screven, Spalding, Thomas, Tift, Toombs, Ware, Wayne, Wheeler, Worth)"
"Eriocaulon decangulare var. decangulare","tenangle pipewort","GA(Bacon, Ben Hill, Berrien, Brantley, Brooks, Bryan, Bulloch, Candler, Charlton, Chatham, Colquitt, Douglas, Emanuel, Glynn, Grady, Irwin, Johnson, Lanier, Long, McIntosh, Miller, Richmond, Screven, Spalding, Thomas, Tift, Toombs, Ware, Wayne, Wheeler, Worth)"
"Eriocaulon koernickianum","gulf pipewort","GA(Clarke, Gwinnett, Hancock, Meriwether, Newton, Rockdale, Walton)"
"Eriocaulon lineare","narrow pipewort","GA(Baker, Bulloch, Calhoun, Decatur, Lee, Lowndes, Seminole)"
"Eriocaulon texense","Texas pipewort","GA(Bulloch, Coffee, Emanuel, Irwin, Toombs, Wheeler)"
"Eriochloa","cupgrass","GA(Charlton, Clarke, Glynn, Lee, Liberty, McIntosh, Oconee)"
"Eriochloa acuminata","tapertip cupgrass","GA(Clarke, Lee, Oconee)"
"Eriochloa acuminata var. acuminata","tapertip cupgrass","GA(Clarke, Lee, Oconee)"
"Eriochloa michauxii","longleaf cupgrass","GA(Charlton, Glynn, Liberty, McIntosh)"
"Eriochloa michauxii var. michauxii","longleaf cupgrass","GA(Charlton, Glynn, Liberty, McIntosh)"
"Eriogonum","buckwheat","GA(Appling, Baker, Ben Hill, Charlton, Chatham, Chattahoochee, Colquitt, Columbia, Dodge, Echols, Emanuel, Grady, Irwin, Jenkins, Lanier, Long, Lowndes, McIntosh, Pulaski, Screven, Talbot, Taylor, Telfair, Tift, Toombs, Wilcox, Wilkinson, Worth)"
"Eriogonum tomentosum","dogtongue buckwheat","GA(Appling, Baker, Ben Hill, Charlton, Chatham, Chattahoochee, Colquitt, Columbia, Dodge, Echols, Emanuel, Grady, Irwin, Jenkins, Lanier, Long, Lowndes, McIntosh, Pulaski, Screven, Talbot, Taylor, Telfair, Tift, Toombs, Wilcox, Wilkinson, Worth)"
"Erodium","stork's bill","GA(Clarke, Echols, Floyd, Fulton, Spalding)"
"Erodium cicutarium","redstem stork's bill","GA(Clarke, Echols, Floyd, Fulton, Spalding)"
"Erodium cicutarium ssp. cicutarium","redstem stork's bill","GA(Clarke, Echols, Floyd, Fulton, Spalding)"
"Eryngium","eryngo","GA(Appling, Baker, Bartow, Ben Hill, Berrien, Bibb, Brooks, Bryan, Bulloch, Calhoun, Charlton, Chatham, Cherokee, Clayton, Cobb, Coffee, Cook, Crisp, Dawson, Decatur, Dodge, Douglas, Early, Echols, Elbert, Emanuel, Evans, Fulton, Glynn, Grady, Greene, Hall, Harris, Hart, Irwin, Jefferson, Jenkins, Johnson, Lanier, Lee, Long, Lowndes, Madison, McIntosh, Meriwether, Mitchell, Montgomery, Randolph, Rockdale, Screven, Stephens, Sumter, Talbot, Taliaferro, Taylor, Thomas, Tift, Toombs, Towns, Treutlen, Turner, Union, Upson, Walker, Ware, Wayne, Wheeler, White, Wilcox, Worth)"
"Eryngium aquaticum","rattlesnakemaster","GA(Calhoun, Charlton, Chatham, Emanuel, Irwin, Tift)"
"Eryngium aromaticum","fragrant eryngo","GA(Charlton, Lowndes, Wayne)"
"Eryngium baldwinii","Baldwin's eryngo","GA(Berrien, Brooks, Charlton, Decatur, Echols, Lanier, Lowndes, Mitchell)"
"Eryngium integrifolium","blueflower eryngo","GA(Bartow, Berrien, Brooks, Bulloch, Calhoun, Charlton, Clayton, Cobb, Coffee, Cook, Crisp, Dodge, Douglas, Early, Elbert, Emanuel, Evans, Fulton, Grady, Irwin, Long, Madison, McIntosh, Rockdale, Thomas, Tift, Toombs, Towns, Union, Wheeler, Wilcox, Worth)"
"Eryngium prostratum","creeping eryngo","GA(Baker, Bartow, Bibb, Brooks, Bulloch, Chatham, Cherokee, Decatur, Greene, Hall, Hart, Jefferson, Long, Meriwether, Thomas, Ware)"
"Eryngium yuccifolium","button eryngo","GA(Appling, Baker, Bartow, Ben Hill, Berrien, Brooks, Bryan, Bulloch, Chatham, Cherokee, Cook, Dawson, Decatur, Dodge, Early, Elbert, Emanuel, Fulton, Glynn, Harris, Irwin, Jenkins, Johnson, Lee, Montgomery, Randolph, Screven, Stephens, Sumter, Talbot, Taliaferro, Taylor, Tift, Toombs, Treutlen, Turner, Union, Upson, Walker, Ware, White, Wilcox, Worth)"
"Erythrina","erythrina","GA(Brooks, Camden, Charlton, Chatham, Decatur, Glynn, Grady, Liberty, McIntosh, Mitchell, Randolph, Screven, Spalding, Stewart, Wilcox)"
"Erythrina herbacea","redcardinal","GA(Brooks, Camden, Charlton, Chatham, Decatur, Glynn, Grady, Liberty, McIntosh, Mitchell, Randolph, Screven, Spalding, Stewart, Wilcox)"
"Erythronium","fawnlily","GA(Butts, Carroll, Catoosa, Columbia, Dade, DeKalb, Early, Forsyth, Greene, Habersham, Hall, Harris, Hart, Henry, Jackson, Lamar, Murray, Oglethorpe, Putnam, Rabun, Randolph, Rockdale, Stephens, Taylor, Towns, Union, Walker, Walton, Washington, Wilkes)"
"Erythronium umbilicatum","dimpled troutlily","GA(Butts, Carroll, Catoosa, Columbia, Dade, DeKalb, Early, Forsyth, Greene, Habersham, Hall, Harris, Hart, Henry, Jackson, Lamar, Murray, Oglethorpe, Putnam, Rabun, Randolph, Rockdale, Stephens, Taylor, Towns, Union, Walker, Walton, Washington, Wilkes)"
"Erythronium umbilicatum ssp. umbilicatum","dimpled troutlily","GA(Butts, Carroll, Catoosa, Columbia, Dade, DeKalb, Early, Forsyth, Greene, Habersham, Hall, Harris, Hart, Henry, Jackson, Lamar, Murray, Oglethorpe, Putnam, Rabun, Randolph, Rockdale, Stephens, Taylor, Towns, Union, Walker, Walton, Washington, Wilkes)"
"Eschscholzia","California poppy","GA(Calhoun)"
"Eschscholzia californica","California poppy","GA(Calhoun)"
"Eschscholzia californica ssp. californica","California poppy","GA(Calhoun)"
"Eubotrys","doghobble","GA(Baker, Baldwin, Ben Hill, Berrien, Brantley, Brooks, Bryan, Camden, Candler, Charlton, Chatham, Cook, Dodge, Early, Echols, Effingham, Elbert, Emanuel, Floyd, Glynn, Grady, Hancock, Hart, Irwin, Jenkins, Lanier, Laurens, Lee, Liberty, Long, Lowndes, Macon, McIntosh, Meriwether, Miller, Morgan, Rabun, Randolph, Screven, Spalding, Talbot, Tattnall, Telfair, Tift, Turner, Upson, Ware, Wayne, Wheeler, Wilcox, Wilkes)"
"Eubotrys racemosus","swamp doghobble","GA(Baker, Baldwin, Ben Hill, Berrien, Brantley, Brooks, Bryan, Camden, Candler, Charlton, Chatham, Cook, Dodge, Early, Echols, Effingham, Elbert, Emanuel, Floyd, Glynn, Grady, Hancock, Hart, Irwin, Jenkins, Lanier, Laurens, Lee, Liberty, Long, Lowndes, Macon, McIntosh, Meriwether, Miller, Morgan, Randolph, Screven, Spalding, Talbot, Tattnall, Telfair, Tift, Turner, Upson, Ware, Wayne, Wheeler, Wilcox, Wilkes)"
"Eubotrys recurvus","redtwig doghobble","GA(Rabun)"
"Euonymus","spindletree","GA(Appling, Banks, Bartow, Bulloch, Burke, Carroll, Charlton, Chatham, Cherokee, Clarke, Cobb, Crisp, Dade, Dawson, DeKalb, Decatur, Early, Elbert, Fannin, Floyd, Forsyth, Fulton, Gilmer, Grady, Hall, Harris, Heard, Jackson, Jasper, Johnson, Lee, Lincoln, Madison, Morgan, Murray, Newton, Oglethorpe, Paulding, Putnam, Rabun, Randolph, Screven, Spalding, Stephens, Tattnall, Taylor, Thomas, Tift, Towns, Union, Upson, Walker, Walton, Washington, Whitfield, Wilkes)"
"Euonymus americanus","bursting-heart","GA(Appling, Banks, Bartow, Bulloch, Burke, Carroll, Charlton, Chatham, Cherokee, Clarke, Cobb, Crisp, Dade, Dawson, DeKalb, Decatur, Early, Elbert, Fannin, Floyd, Forsyth, Fulton, Gilmer, Grady, Hall, Harris, Heard, Jackson, Jasper, Johnson, Lee, Lincoln, Madison, Morgan, Murray, Newton, Oglethorpe, Paulding, Putnam, Rabun, Randolph, Screven, Spalding, Stephens, Taylor, Thomas, Tift, Union, Upson, Walker, Walton, Washington, Whitfield, Wilkes)"
"Euonymus atropurpureus","burningbush","GA(Dade, Early, Floyd, Hall, Tattnall)"
"Euonymus atropurpureus var. atropurpureus","eastern wahoo","GA(Dade, Early, Floyd, Hall, Tattnall)"
"Euonymus obovatus","running strawberry bush","GA(Towns, Union)"
"Eupatorium","thoroughwort","GA(Appling, Atkinson, Baker, Barrow, Bartow, Ben Hill, Berrien, Bibb, Brooks, Bulloch, Burke, Calhoun, Camden, Candler, Charlton, Chatham, Chattooga, Cherokee, Clarke, Clay, Cobb, Coffee, Colquitt, Columbia, Cook, Crawford, Crisp, Dade, Dawson, DeKalb, Decatur, Dougherty, Douglas, Early, Echols, Effingham, Elbert, Emanuel, Evans, Fannin, Floyd, Forsyth, Franklin, Fulton, Glynn, Gordon, Grady, Greene, Habersham, Hall, Hancock, Harris, Hart, Irwin, Jackson, Jasper, Jefferson, Johnson, Jones, Lanier, Laurens, Liberty, Lincoln, Long, Lowndes, Lumpkin, Macon, Marion, McDuffie, McIntosh, Mitchell, Morgan, Murray, Oconee, Oglethorpe, Peach, Pickens, Pike, Pulaski, Putnam, Rabun, Randolph, Screven, Stephens, Stewart, Sumter, Taliaferro, Tattnall, Terrell, Thomas, Tift, Toombs, Treutlen, Union, Upson, Walker, Ware, Washington, Wayne, Wheeler, White, Whitfield, Wilkes, Worth)"
"Eupatorium album","white thoroughwort","GA(Bartow, Calhoun, Chatham, Chattooga, Clarke, Cobb, Columbia, Cook, Crisp, Dawson, DeKalb, Decatur, Elbert, Emanuel, Fannin, Forsyth, Grady, Hall, Harris, Hart, Lumpkin, McDuffie, Morgan, Oglethorpe, Pike, Rabun, Randolph, Stephens, Upson, Walker, Wayne, Worth)"
"Eupatorium album var. album","white thoroughwort","GA(Bartow, Calhoun, Chatham, Chattooga, Clarke, Cobb, Columbia, Cook, Crisp, Dawson, DeKalb, Decatur, Elbert, Emanuel, Fannin, Forsyth, Grady, Hall, Harris, Hart, Lumpkin, McDuffie, Morgan, Oglethorpe, Pike, Rabun, Randolph, Stephens, Upson, Walker, Wayne, Worth)"
"Eupatorium altissimum","tall thoroughwort","GA(Bibb, Chatham, Early, Effingham, Elbert, Floyd, Rabun, Union, Whitfield)"
"Eupatorium anomalum","Florida thoroughwort","GA(Chatham, Liberty, McIntosh, Tift)"
"Eupatorium capillifolium","dogfennel","GA(Baker, Barrow, Bartow, Camden, Chatham, Clarke, Colquitt, Dawson, Dougherty, Elbert, Fulton, Glynn, Grady, Greene, Hall, Harris, Irwin, Jones, Lanier, Liberty, Long, McIntosh, Mitchell, Morgan, Thomas, Tift, Worth)"
"Eupatorium compositifolium","yankeeweed","GA(Baker, Bulloch, Clarke, Emanuel, Greene, Jefferson, Jones, Lincoln, Lowndes, Mitchell, Oconee, Peach, Putnam, Stewart, Washington)"
"Eupatorium glaucescens","waxy thoroughwort","GA(Appling, Baker, Bartow, Ben Hill, Berrien, Bibb, Calhoun, Clarke, Crawford, Decatur, Dougherty, Elbert, Emanuel, Evans, Franklin, Grady, Hart, Lanier, Long, Lowndes, Macon, Marion, Mitchell, Tattnall, Worth)"
"Eupatorium hyssopifolium","hyssopleaf thoroughwort","GA(Baker, Bartow, Bibb, Burke, Chattooga, Clarke, Clay, Cobb, Coffee, Columbia, DeKalb, Decatur, Elbert, Forsyth, Fulton, Hall, Harris, Hart, Jackson, Jones, Lumpkin, Mitchell, Morgan, Oglethorpe, Screven, Sumter, Thomas, Whitfield)"
"Eupatorium leptophyllum","false fennel","GA(Baker, McIntosh, Screven)"
"Eupatorium leucolepis","justiceweed","GA(Brooks, Bulloch, Charlton, Chatham, Laurens, Liberty, Tattnall, Tift, Toombs, Ware)"
"Eupatorium leucolepis var. leucolepis","justiceweed","GA(Brooks, Bulloch, Charlton, Chatham, Laurens, Liberty, Tattnall, Tift, Toombs, Ware)"
"Eupatorium mohrii","Mohr's thoroughwort","GA(Ben Hill, Bulloch, Candler, Cook, Echols, Habersham, Laurens, McIntosh, Screven, Wayne)"
"Eupatorium perfoliatum","common boneset","GA(Barrow, Bartow, Ben Hill, Clarke, Cobb, Cook, Gordon, Jasper, Lowndes, Mitchell, Rabun, Union, White, Whitfield)"
"Eupatorium perfoliatum var. perfoliatum","common boneset","GA(Barrow, Bartow, Ben Hill, Clarke, Cobb, Cook, Gordon, Jasper, Lowndes, Mitchell, Rabun, Union, White, Whitfield)"
"Eupatorium rotundifolium","roundleaf thoroughwort","GA(Atkinson, Bartow, Ben Hill, Berrien, Brooks, Charlton, Chatham, Chattooga, Clarke, Colquitt, Cook, Crisp, Decatur, Douglas, Emanuel, Floyd, Glynn, Grady, Habersham, Hall, Harris, Irwin, Jackson, Johnson, Lanier, McDuffie, McIntosh, Pike, Pulaski, Rabun, Screven, Stewart, Taliaferro, Tift, Toombs, Treutlen, Union, Walker, Ware, Wayne, Wheeler, White, Worth)"
"Eupatorium semiserratum","smallflower thoroughwort","GA(Baker, Bartow, Colquitt, Dougherty, Early, Long, McIntosh, Terrell, Thomas, Toombs)"
"Eupatorium serotinum","lateflowering thoroughwort","GA(Bartow, Camden, Chatham, Cherokee, Cobb, Columbia, Dade, Dawson, Fannin, Gordon, Hancock, Harris, Jones, Lincoln, Long, Lumpkin, McIntosh, Murray, Pickens, Union, Walker, Wilkes)"
"Eupatorium sessilifolium","upland boneset","GA(Dade, Dawson)"
"Euphorbia","spurge","GA(Atkinson, Baker, Bartow, Ben Hill, Berrien, Bulloch, Burke, Candler, Catoosa, Charlton, Chatham, Cherokee, Clarke, Clay, Cobb, Coffee, Colquitt, Columbia, Dade, Dawson, DeKalb, Decatur, Dodge, Dooly, Dougherty, Effingham, Elbert, Emanuel, Fannin, Fayette, Floyd, Forsyth, Fulton, Gilmer, Glascock, Glynn, Grady, Gwinnett, Hall, Haralson, Harris, Irwin, Jeff Davis, Jenkins, Jones, Lanier, Liberty, Lincoln, Lowndes, Lumpkin, Madison, McIntosh, Meriwether, Miller, Morgan, Murray, Muscogee, Oconee, Oglethorpe, Paulding, Pulaski, Putnam, Rabun, Randolph, Richmond, Screven, Spalding, Stephens, Sumter, Talbot, Tattnall, Taylor, Telfair, Thomas, Towns, Turner, Union, Upson, Walker, Ware, Warren, Wayne, Wheeler, White, Whitfield, Wilcox, Wilkes, Worth)"
"Euphorbia commutata","tinted woodland spurge","GA(Bartow, Columbia, Decatur, Fayette, Oglethorpe, Walker)"
"Euphorbia corollata","flowering spurge","GA(Bartow, Chatham, Clarke, Elbert, Fannin, Gilmer, Hall, Haralson, Lumpkin, Madison, Morgan, Murray, Muscogee, Stephens, Thomas, Towns, Union, Upson, Walker, Worth)"
"Euphorbia curtisii","Curtis' spurge","GA(Atkinson, Candler, Lanier)"
"Euphorbia cyathophora","fire on the mountain","GA(Clarke, Columbia, Decatur, Glynn, Irwin, McIntosh, Miller, Sumter, Taylor)"
"Euphorbia cyparissias","cypress spurge","GA(Oconee)"
"Euphorbia dentata","toothed spurge","GA(Decatur, Walker)"
"Euphorbia dentata var. dentata","toothed spurge","GA(Decatur, Walker)"
"Euphorbia discoidalis","summer spurge","GA(Atkinson, Baker, Ben Hill, Colquitt, Dougherty, Grady, Irwin, Lanier, Randolph, Sumter, Thomas, Turner, Worth)"
"Euphorbia exserta","coastal sand spurge","GA(Charlton, Chatham, Coffee, Decatur, Dodge, Effingham, Emanuel, Glascock, Jeff Davis, Jenkins, McIntosh, Pulaski, Richmond, Screven, Tattnall, Telfair, Wayne, Wheeler, Wilcox)"
"Euphorbia floridana","Greater Florida spurge","GA(Decatur)"
"Euphorbia helioscopia","madwoman's milk","GA(Clarke, Spalding)"
"Euphorbia heterophylla","Mexican fireplant","GA(Berrien, Bulloch, Charlton, Chatham, Clarke, Decatur, Hall, Liberty, Lowndes, McIntosh, Taylor)"
"Euphorbia inundata","Florida pineland spurge","GA(Charlton, Ware)"
"Euphorbia inundata var. inundata","Florida pineland spurge","GA(Charlton, Ware)"
"Euphorbia ipecacuanhae","American ipecac","GA(Burke, Candler, Richmond)"
"Euphorbia marginata","snow on the mountain","GA(Chatham, Clarke, Miller)"
"Euphorbia mercurialina","mercury spurge","GA(Catoosa, Dade, Floyd, Murray, Walker)"
"Euphorbia pubentissima","false flowering spurge","GA(Bartow, Bulloch, Cherokee, Clarke, Clay, Cobb, Dade, Dawson, DeKalb, Decatur, Dooly, Dougherty, Elbert, Floyd, Forsyth, Fulton, Gilmer, Gwinnett, Hall, Harris, Jenkins, Jones, Lincoln, Lumpkin, Madison, Meriwether, Oconee, Oglethorpe, Paulding, Putnam, Rabun, Spalding, Stephens, Talbot, Telfair, Towns, Walker, Warren, White, Whitfield, Wilkes, Worth)"
"Eurybia","aster","GA(Bartow, Bulloch, Burke, Catoosa, Charlton, Chatham, Cherokee, Cobb, Dawson, DeKalb, Decatur, Fannin, Floyd, Fulton, Gilmer, Gordon, Gwinnett, Habersham, Harris, Hart, Lamar, Lincoln, Lumpkin, Madison, Meriwether, Morgan, Murray, Paulding, Pickens, Pike, Rabun, Rockdale, Spalding, Stephens, Towns, Union, Upson, Walker, Walton, Ware, Wayne, White, Whitfield)"
